ORIGIN_VENDOR,SALES,MEDIAN_PRICE,VENDOR_RATING
United Kingdom,16,92.48,4.95
United Kingdom,11,67.98,4.95
Netherlands,4,1005.275,4.95
United Kingdom,57,27.54,4.95
Netherlands,0,112.03,4.65
Netherlands,0,44.42,4.45
Netherlands,1,186.475,4.85
Netherlands,0,16,4.95
Germany,2,236,4.9
Germany,1,105,4.9
United Kingdom,7,102.705,4.55
Germany,39,52.96,4.9
United States,31,623,4.9
Netherlands,2,27.25,4.9
United Kingdom,1,40.33,4.75
Netherlands,0,67.88,4.9
United Kingdom,7,110.865,5
Germany,0,75.22,5
Netherlands,23,36.99,5
United States,0,45,4.85
Germany,0,168.71,4.6
Netherlands,0,150,4.85
United Kingdom,1,67.79,4.85
United Kingdom,6,77.495,4.95
United Kingdom,16,130.41,4.9
United States,2,200,4.9
Netherlands,2,94.55,4.85
United Kingdom,1,12.99,4.75
Netherlands,3,186.875,4.75
United States,0,1930,4.8
United Kingdom,9,23.09,4.9
United Kingdom,8,98.64,4.75
United Kingdom,1,87.7,4.85
Netherlands,0,107.5,4.15
United Kingdom,8,18.275,4.85
United Kingdom,8,195,4.95
United States,15,775,5
United Kingdom,1,100,4.9
Netherlands,0,58.75,4.55
United Kingdom,73,45.5,4.95
Netherlands,56,127.19,4.9
United States,18,244,4.9
United Kingdom,15,49.005,4.95
Netherlands,0,10.58,5
Germany,12,140.34,4.85
United Kingdom,37,50.53,5
United States,33,75,4.95
United States,6,339.5,4.95
United Kingdom,0,34.71,4.95
United States,7,155,4.95
United States,0,127.5,5
United Kingdom,6,33.28,5
United States,16,445,5
Netherlands,0,39.545,4.85
United Kingdom,33,88.175,4.9
United Kingdom,30,152.915,4.95
United States,1,175,4.95
United States,0,587.5,4.95
United Kingdom,10,274.45,4.9
Germany,0,60.69,4.8
Germany,4,58.31,4.9
United States,0,325,4.95
Netherlands,3,10.75,5
Netherlands,0,161.215,4.9
Germany,2,32.53,4.45
United States,0,102.475,4.9
United Kingdom,2,235.79,4.9
United States,3,100,4.95
United States,2,86,5
Netherlands,0,354.87,5
Netherlands,1,267.06,4.75
United States,0,387,4.9
Germany,15,55,4.75
United Kingdom,0,21.64,4.9
United Kingdom,26,43.64,4.95
Netherlands,0,63,4.75
Germany,0,16.04,4.95
Netherlands,0,184.385,4.9
Netherlands,10,53.665,4.95
United States,0,112.49,4.9
Germany,0,85,4.7
United States,0,147.5,4.95
Netherlands,0,200.74,4.35
United States,2,5,4.9
United States,0,227.5,4.9
United States,8,350,4.95
Netherlands,0,61.25,4.85
United Kingdom,57,62.16,4.95
Germany,4,53.14,4.9
United States,3,101.66,4.9
United Kingdom,7,156.72,4.8
Netherlands,2,87.5,4.95
United Kingdom,16,58.985,5
Netherlands,3,40.69,4.75
Germany,0,270.6,5
United States,7,242.5,4.95
Germany,0,50.165,4.8
United Kingdom,80,81,4.95
United States,4,120,4.9
Germany,7,87.5,4.9
United States,4,29.995,4.9
Germany,5,85.36,4.95
Germany,54,210,4.95
United States,3,10,4.95
United States,1,90,5
United Kingdom,1,324.53,4.95
United States,0,988,4.9
Germany,0,110,5
United States,19,295,5
Germany,0,24.82,5
Netherlands,3,154,4.9
Germany,24,36.8,5
United States,0,250,5
Netherlands,0,53.84,5
United Kingdom,0,140.18,4.65
United States,3,180,5
Netherlands,0,59.265,4.9
United States,0,12,4.9
United Kingdom,6,71.73,4.95
Netherlands,0,955.34,4.6
Germany,0,60.28,5
United States,0,122.5,5
Germany,15,57.59,5
United Kingdom,0,147.95,5
United Kingdom,2,86.47,4.9
United States,7,65,4.85
Netherlands,0,78.45,5
United Kingdom,6,19.5,4.95
Netherlands,0,60,5
Germany,0,347.5,4.85
United States,0,9.49,4.85
Netherlands,0,55.12,5
United States,1,180,4.95
Germany,2,215,4.65
Netherlands,5,239.49,4.7
Germany,0,115.5,4.95
United Kingdom,2,58.995,5
United States,0,240,5
United States,10,26.5,5
United States,3,192,4.8
United States,0,149.99,4.85
United States,0,312.5,4.8
Germany,7,70,4.95
United States,0,192,4.95
Germany,5,26.48,4.85
Netherlands,6,212,4.85
United States,0,175,5
Netherlands,4,163.75,4.9
Netherlands,4,76.72,4.85
Netherlands,1,106.54,4.85
Germany,0,167.31,4.95
United Kingdom,0,56.15,5
United Kingdom,0,47.43,4.65
Netherlands,0,100.275,4.3
United Kingdom,7,91.25,4.9
Germany,10,97.14,4.95
United Kingdom,135,85.18,4.95
Germany,4,235.385,4.95
United Kingdom,0,33.575,5
United States,2,60,5
United States,1,62.5,5
United States,0,92,5
United States,3,137.5,4.85
Netherlands,4,71,4.85
United States,3,243.5,4.9
Germany,0,49.395,4.9
Germany,0,42.105,5
Netherlands,0,159.23,5
Germany,0,143.25,4.7
Germany,0,94.76,4.95
United Kingdom,35,146.5,4.9
Germany,0,79,4.8
United Kingdom,9,170.58,4.9
United Kingdom,2,137.425,4.85
Netherlands,2,40,4.8
Germany,1,69.325,4.5
United States,0,152.37,4.85
Netherlands,0,64.1,4.35
Netherlands,1,49,4.9
Netherlands,0,45.37,5
Netherlands,0,95.23,4.85
Netherlands,0,46.45,4.7
United Kingdom,0,40,5
Germany,2,29.49,5
Germany,2,69.54,4.65
United States,0,200,4.9
Netherlands,0,46.5,4.55
Germany,0,176.04,4.3
United Kingdom,14,62.04,5
United Kingdom,14,61.21,4.95
Germany,0,191.685,4.8
Germany,1,71,5
Germany,0,292.55,5
United States,0,0.72,5
United Kingdom,0,650,5
United States,10,340,4.8
United States,3,300,4.95
United States,0,240,5
Germany,9,53.41,4.65
Netherlands,1,103.9,4.8
Germany,0,30.775,4.65
United States,1,45,4.95
United Kingdom,2,91.78,4.9
Germany,0,65.98,4.85
Germany,5,53.03,4.95
United Kingdom,4,19.99,4.9
Germany,0,43.98,5
United Kingdom,2,0,5
United States,0,5,5
United States,6,100.5,4.95
United States,0,169.995,5
United States,5,80,5
Germany,0,210,4.5
Germany,1,117.94,5
Netherlands,2,37.33,5
Netherlands,0,160.5,4.8
Germany,16,182,4.9
United States,4,60,5
Netherlands,0,187.87,5
United States,0,60,5
United States,10,290,4.95
United States,7,24,4.9
Netherlands,1,52.9,4.85
Germany,8,128.96,5
United Kingdom,11,119.01,4.95
United States,1,400,4.9
United Kingdom,1,52.66,5
United States,0,131.25,4.95
Netherlands,0,219.42,4.95
United Kingdom,3,203.88,4.9
United Kingdom,0,13,5
Germany,0,47.235,4.7
Germany,0,29.045,4.55
Germany,5,34.665,5
Germany,0,77.97,4.9
United Kingdom,0,125.185,4.95
United Kingdom,14,75.53,5
Netherlands,0,159.34,5
Germany,0,105.11,4.95
United Kingdom,20,212.84,4.9
United States,0,345,4
United Kingdom,0,77.72,4.9
United Kingdom,3,48.685,5
United Kingdom,0,60,5
United States,0,214,4.9
United States,0,70,4.65
United Kingdom,4,54.82,4.95
Germany,0,448.22,4.85
Netherlands,12,112.07,5
